	securityName	securityClass	putCall	cusipSedol	isin	manualIdentifier	ticker	formType	name	lei	currencyCode	payoffProfile	issuerClass	fairValueLevel	couponKind	countryCode	units	fileDate	effectiveDate	superceded	principal	shares	percent	value	sharesChange	percentChange	prevShares	prevValue	percentValueChange	percentOwnershipChange	sharePrice	costBasis	profit	performance	sharesMultiplier	valueMultiplier	allocation	prevAllocation	allocationPercentChange	allocationChange	current	unrealized	realized	pageDataId	lineNbr	default	option	formTypeShort	formattedFileDate	valueChange	bestIdentifier	restricted	safeAllocationChange	latestUnrealized	slug	url	ownershipPercent	ownershipPercentChange	sharesPercentChange	valuePercentChange	symbol
0	INTEL CORP	Equity		458140100				13F-HR	FSA Wealth Management LLC									2025-02-14	2024-12-31	False		1140.0		22860	-321.0	-21.971252566735114	1461.0	34.0	-35.29		40.62254	46.3097				0.001	0.009278940627164079	0.013695811468539067	-32.249792949626055	-0.004416870841374988		-23.4527					False	13F	02-14	-12000	458140100		-0.004416870841374988	-17.0231	fsa-wealth-management-llc	https://fintel.io/i/fsa-wealth-management-llc	2.632794457274827e-05	-21.971252566735114	-21.971252566735114	-35.29	INTC
1	Intel Corp	EC		458140100	US4581401001			NPORT-P	XNTK - SPDR SERIES TRUST - SPDR(R) NYSE Technology ETF	KNX4USFCNGPY45LOCE31	USD	Long	CORP	1		US	NS	2025-02-27	2024-12-31	False		1267491.0		25413194	827320.0	187.954226880008	440171.0	10326.0	146.11		30.82674	39072.62			1.0	0.001	2.957568134578	1.238784926203	138.7475074985973	1.718783208375		-13659.42					False	NP	02-27	15087000	US4581401001		1.718783208375	-6510.776	spdr-series-trust-spdr-r-nyse-technology-etf	https://fintel.io/i/spdr-series-trust-spdr-r-nyse-technology-etf	0.02927230946882217	187.954226880008	187.954226880008	146.11	INTC
2	INTEL CORP	COM		458140100				13F-HR	CBOE Vest Financial, LLC									2025-01-28	2024-12-31	False		23439.0		469953	5949.0	34.01372212692967	17490.0	410.0	14.39		24.35921	570.9556				0.001	0.005745871659686924	0.007910227193533034	-27.361483822052143	-0.00216435553384611		-101.0036					False	13F	01-28	59000	458140100		-0.00216435553384611	31.19231	cboe-vest-financial-llc	https://fintel.io/i/cboe-vest-financial-llc	0.0005413163972286374	34.01372212692967	34.01372212692967	14.39	INTC
3	INTEL CORP	COM		458140100				13F-HR	Bridgeway Capital Management Inc									2025-02-14	2024-12-31	False		922110.0		18488312	162910.0	21.458113804004213	759200.0	17810.0	3.81		21.7545	3544.025595	-2865.7135949999983	-16.09047498596293		0.001	0.4135983320000353	0.3850366490681678	7.417912814530774	0.0285616829318675		-7233.358					False	13F	02-14	678000	458140100		0.0285616829318675	20144.98	bridgeway-capital-management	https://fintel.io/i/bridgeway-capital-management	0.02129584295612009	21.458113804004213	21.458113804004213	3.81	INTC
4	INTEL CORP	COM		458140100				13F-HR	CIBC Asset Management Inc									2025-01-31	2024-12-31	False		1399078.0		28051514	74179.0	5.598841873984356	1324899.0	31082.0	-9.75		34.50528	48275.58				0.001	0.0919272206115876	0.10083672468831699	-8.835574642342232	-0.00890950407672939		-20224.07					False	13F	01-31	-3031000	458140100		-0.00890950407672939	-12333.27	cibc-asset-management	https://fintel.io/i/cibc-asset-management	0.03231127020785219	5.598841873984356	5.598841873984356	-9.75	INTC
5	Intel Corp	COM		458140100				13F-HR	First Financial Bankshares Inc									2025-02-11	2024-12-31	False		0.0		0	-20891.0	-100.0	20891.0	490.0	-100.0			-490.0	0.0			0.001		0.010317413311253056	-100.0	-0.010317413311253056							False	13F	02-11	-490000	458140100		-0.010317413311253056		first-financial-bankshares-inc	https://fintel.io/i/first-financial-bankshares-inc	0.0	-100.0	-100.0	-100.0	INTC
6	INTEL CORP	COM		458140100				13F-HR	Panagora Asset Management Inc									2025-02-13	2024-12-31	False		120003.0		2406060	-27643.0	-18.722484862441245	147646.0	3463.0	-30.52		28.62361	3434.919				0.001	0.011120421720341816	0.016550605708288334	-32.80957859582837	-0.005430183987946518		-1028.859					False	13F	02-13	-1057000	458140100		-0.005430183987946518	-352.0419	panagora-asset-management	https://fintel.io/i/panagora-asset-management	0.002771431870669746	-18.722484862441245	-18.722484862441245	-30.52	INTC
7	Intel Corporation COM USD0.001	EC		458140100	US4581401001		INTC	NPORT-P	STFBX - Advisers Investment Trust - State Farm Balanced Fund	KNX4USFCNGPY45LOCE31	USD	Long	CORP	1		US	NS	2025-02-27	2024-12-31	False		100.0		2005	0.0	0.0	100.0	2.0	0.0		54.24138	5.424138			1.0	0.001	8.13565e-05	9.30729e-05	-12.588411879290312	-1.17164e-05		-3.419138					False	NP	02-27	0	US4581401001		-1.17164e-05	-2.855138	advisers-investment-trust-state-farm-balanced-fund	https://fintel.io/i/advisers-investment-trust-state-farm-balanced-fund	2.309468822170901e-06	0.0	0.0	0.0	INTC
8	INTEL CORP	common		458140100				13F-HR	Bokf, Na									2025-02-14	2024-12-31	False		102194.0		1957015	-11180.0	-9.861167463439589	113374.0	2523.0	-22.43		20.7019	-231.447242	-334.5377579999999	-13.25952271105826		0.001	0.023983970718275245	0.03572342028613649	-32.862053727865124	-0.011739449567861245		-364.8374					False	13F	02-14	-566000	458140100		-0.011739449567861245	2856.811	bokf-na	https://fintel.io/i/bokf-na	0.00236013856812933	-9.861167463439589	-9.861167463439589	-22.43	INTC
9	INTEL CORP	COM		458140100				13F-HR	Snowden Capital Advisors LLC									2025-02-14	2024-12-31	False		39751.0		797009	-8030.0	-16.805843326845398	47781.0	1120.0	-28.84		30.745	1222.144				0.001	0.024767494453993663	0.03337335740137641	-25.78662627161335	-0.008605862947382747		-425.1369					False	13F	02-14	-323000	458140100		-0.008605862947382747	-200.9408	snowden-capital-advisors-llc	https://fintel.io/i/snowden-capital-advisors-llc	0.0009180369515011547	-16.805843326845398	-16.805843326845398	-28.84	INTC
