	securityName	securityClass	putCall	cusipSedol	isin	manualIdentifier	ticker	formType	name	lei	currencyCode	payoffProfile	issuerClass	fairValueLevel	couponKind	countryCode	units	fileDate	effectiveDate	superceded	principal	shares	percent	value	sharesChange	percentChange	prevShares	prevValue	percentValueChange	percentOwnershipChange	sharePrice	costBasis	profit	performance	sharesMultiplier	valueMultiplier	allocation	prevAllocation	allocationPercentChange	allocationChange	current	unrealized	realized	pageDataId	lineNbr	default	option	formTypeShort	formattedFileDate	valueChange	bestIdentifier	restricted	safeAllocationChange	latestUnrealized	slug	url	ownershipPercent	ownershipPercentChange	sharesPercentChange	valuePercentChange	symbol
0	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Perennial Investment Advisors, LLC									2025-02-13	2024-12-31	False		2668.0		224533	260.0	10.79734219269103	2408.0	249.0	-10.04		91.60656	244.4063				0.001	0.02644561336113519	0.03235047505941612	-18.252782030050053	-0.00590486169828093		-19.86742					False	13F	02-13	-25000	595112103		-0.00590486169828093	14.22962	perennial-investment-advisors-llc	https://fintel.io/i/perennial-investment-advisors-llc	0.0002387319236681518	10.79734219269103	10.79734219269103	-10.04	MU
1	Micron Technology, Inc.	EC		595112103	US5951121038			NPORT-P	EQAL - Invesco Exchange-Traded Fund Trust II - Invesco Russell 1000 Equal Weight ETF	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2025-01-28	2024-11-30	False		4486.0		439403	1918.0	74.68847352024922	2568.0	247.0	77.73		69.71233	312.7295			1.0	0.001	0.066024358967	0.040657818016	62.390315537881435	0.025366540951		126.6742					False	NP	01-28	192000	US5951121038		0.025366540951	122.1433	invesco-exchange-traded-fund-trust-ii-invesco-russell-1000-equal-weight-etf	https://fintel.io/i/invesco-exchange-traded-fund-trust-ii-invesco-russell-1000-equal-weight-etf	0.0004014060755529719	74.68847352024922	74.68847352024922	77.73	MU
2	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Wealth Alliance Advisory Group, LLC									2024-10-18	2024-09-30	False		0.0		0	-1838.0	-100.0	1838.0	241.0	-100.0			-241.0	0.0			0.001		0.05445368021775814	-100.0	-0.05445368021775814							False	13F	10-18	-241000	595112103		-0.05445368021775814		wealth-alliance-advisory-group	https://fintel.io/i/wealth-alliance-advisory-group	0.0	-100.0	-100.0	-100.0	MU
3	Micron Technology Inc	EC		595112103	US5951121038			NPORT-P	CADVX - CALAMOS INVESTMENT TRUST/IL - Calamos Dividend Growth Fund Class A	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2024-12-16	2024-10-31	False		1010.0		100646	0.0	0.0	1010.0	110.0	-9.09		65.73428	66.39162			1.0	0.001	0.48753185426	0.547864691509	-11.012360932189925	-0.060332837249		34.25488					False	NP	12-16	-10000	US5951121038		-0.060332837249	31.51778	calamos-investment-trust-il-calamos-dividend-growth-fund-class-a	https://fintel.io/i/calamos-investment-trust-il-calamos-dividend-growth-fund-class-a	9.037452882490003e-05	0.0	0.0	-9.09	MU
4	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Formidable Asset Management, LLC									2025-02-19	2024-12-31	False		5107.0		429805	325.0	6.796319531576746	4782.0	495.0	-13.33		53.08817	271.1213				0.001	0.06786696048286914	0.07921978701763112	-14.330796587770807	-0.01135282653476198		158.6838					False	13F	02-19	-66000	595112103		-0.01135282653476198	223.9513	formidable-asset-management-llc	https://fintel.io/i/formidable-asset-management-llc	0.0004569729888205589	6.796319531576746	6.796319531576746	-13.33	MU
5	Micron Technology	Com		595112103				13F-HR	BankPlus Trust Department									2025-02-04	2024-12-31	False		663.0		55798	663.0							55.798				0.001	0.01830743675457804			0.01830743675457804		-11.66232					False	13F	02-04	55000	595112103		0.01830743675457804		bankplus-trust-department-3791	https://fintel.io/i/bankplus-trust-department-3791	5.932506199099874e-05				MU
6	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Altfest L J & Co Inc									2024-11-05	2024-09-30	False		0.0		0	-2847.0	-100.0	2847.0	0.0				0.0	0.0			0.001	0.0	0.05109896941303133	-100.0	-0.05109896941303133							False	13F	11-05	0	595112103		-0.05109896941303133		altfest-l-j	https://fintel.io/i/altfest-l-j	0.0	-100.0	-100.0		MU
7	Micron Technology Inc	EC		595112103	US5951121038			NPORT-P	VYGNX - Voya EQUITY TRUST - Voya Global Multi-Asset Fund Class R6									2024-10-23	2024-08-31	False		0.0		0	-4160.0	-100.0	4160.0	520.0	-100.0			-520.0	0.0		1.0	0.001		0.417592986486	-100.0	-0.417592986486							False	NP	10-23	-520000	US5951121038		-0.417592986486		voya-equity-trust-voya-global-multi-asset-fund-class-r6	https://fintel.io/i/voya-equity-trust-voya-global-multi-asset-fund-class-r6	0.0	-100.0	-100.0	-100.0	MU
8	MICRON TECH	EC		595112103	US5951121038			NPORT-P	LONAX - NORTHERN LIGHTS FUND TRUST II - Longboard Alternative Growth Fund Class A									2024-10-29	2024-08-31	False		0.0		0	-970.0	-100.0	970.0	121.0	-100.0			-121.0	0.0		1.0	0.001		0.101673397435	-100.0	-0.101673397435							False	NP	10-29	-121000	US5951121038		-0.101673397435		northern-lights-fund-trust-ii-longboard-alternative-growth-fund-class-a	https://fintel.io/i/northern-lights-fund-trust-ii-longboard-alternative-growth-fund-class-a	0.0	-100.0	-100.0	-100.0	MU
9	MICRON TECHNOLOGY INC	COM	Call	595112103				13F-HR	Bank of New York Mellon Corp									2025-02-04	2024-12-31	False		0.0		0	-11400.0	-100.0	11400.0	1182.0	-100.0			-1182.0	0.0			0.001		0.00021987110425349113	-100.0	-0.00021987110425349113							call	13F	02-04	-1182000	595112103		-0.00021987110425349113		bank-of-new-york-mellon	https://fintel.io/i/bank-of-new-york-mellon	0.0	-100.0	-100.0	-100.0	MU
10	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Securian Asset Management, Inc									2025-02-10	2024-12-31	False		59590.0		5015094	-1737.0	-2.8323576891092017	61327.0	6360.0	-21.15		6.652385	396.4156				0.001	0.1459969222201527	0.18353705970922	-20.453709756788403	-0.0375401374890673		4618.679					False	13F	02-10	-1345000	595112103		-0.0375401374890673	5380.239	advantus-capital-management	https://fintel.io/i/advantus-capital-management	0.005332097200669103	-2.8323576891092017	-2.8323576891092017	-21.15	MU
11	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Joule Financial, LLC									2025-01-15	2024-12-31	False		5541.0		466331	-313.0	-5.346771438332764	5854.0	607.0	-23.23		74.28603	411.6189				0.001	0.16485447679289614	0.2209400469536266	-25.384972500029537	-0.05608557016073046		54.71166					False	13F	01-15	-141000	595112103		-0.05608557016073046	125.5256	joule-financial-llc	https://fintel.io/i/joule-financial-llc	0.000495807192295813	-5.346771438332764	-5.346771438332764	-23.23	MU
12	Micron Technology Inc	EC		595112103	US5951121038			NPORT-P	BlackRock ETF Trust - iShares A.I. Innovation and Tech Active ETF	B3DXGBC8GAIYWI2Z0172	USD	Long	CORP	1		US	NS	2024-12-26	2024-10-31	False		3600.0		358740	3600.0						99.18348	357.0605			1.0	0.001	1.833129610619			1.833129610619		1.679455					False	NP	12-26	358000	US5951121038		1.833129610619	-8.0765	blackrock-etf-trust-ishares-a-i-innovation-and-tech-active-etf-2835	https://fintel.io/i/blackrock-etf-trust-ishares-a-i-innovation-and-tech-active-etf-2835	0.0003221270334352873				MU
13	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	Abich Financial Wealth Management LLC									2024-10-25	2024-09-30	False		79.0		8193	54.0	216.0	25.0	3.0	166.67		110.0162	8.691283				0.001	0.0184098090914257	0.0022359258819131243	723.3640140018291	0.016173883209512574		-0.4981932					False	13F	10-25	5000	595112103		0.016173883209512574	-1.033023	abich-financial-wealth-management-llc	https://fintel.io/i/abich-financial-wealth-management-llc	7.06889878927436e-06	216.0	216.0	166.67	MU
14	MICRON TECHNOLOGY INC	COM		595112103				13F-HR	ProVise Management Group, LLC									2024-11-12	2024-09-30	False		0.0		0	-1797.0	-100.0	1797.0	236359.0								0.001											False	13F	11-12	-236359000	595112103		0.0		provise-management-group-llc	https://fintel.io/i/provise-management-group-llc	0.0	-100.0	-100.0		MU
